datetime,re_m1_svor,tepl_m,zraz_m,tlak_m,v_rh_m,v_s_m,v_rh_m_50,v_rh_m_125,vlhk_m
,0.9281498764754326,0.6464215996260758,0.0,0.9438663519936621,0.6581196581196582,0.9596058367982786,0.6238392238392239,0.6965152183502427,0.7995623578281079
01/03/2019 01:00,0.9849711776008783,0.21393417832888845,0.0,0.9422531027198313,0.15876257469177826,0.10373821825232271,0.16437976437976437,0.23147331274812527,0.5805434675106319
01/03/2019 02:00,0.9643151248970627,0.5016909075912129,0.0,0.9220647940322153,0.23871114136600866,0.16691696459591826,0.28676368676368674,0.38095500661667403,0.5563742458708335
01/03/2019 03:00,0.9378259676091132,0.6124659756399331,0.0,0.9301392923158169,0.11375841464337041,0.4053845809004001,0.18600138600138602,0.3102117335685929,0.4872539808129759
01/03/2019 04:00,0.9816771891298381,0.2173709823760689,0.0,0.9261329878531819,0.06807351940095305,0.6510641397783181,0.03818433818433818,0.0953352448169387,0.9283824547522499
01/03/2019 05:00,0.9223853966511117,0.8047895301201509,0.0,0.9275316873514652,0.31964299220936393,0.9511414706310868,0.29826749826749827,0.34153065725628584,0.1596775788744931
01/03/2019 06:00,0.972618720834477,0.5190123999890023,0.0,0.9449927383152894,0.08705846758944105,0.4287827675479394,0.025918225918225915,0.08960079400088222,0.5820393630699238
01/03/2019 07:00,0.9849711776008783,0.19861977949465237,0.29669936278370446,0.9421870874042777,0.31328946373194166,0.05833996436056351,0.28586278586278585,0.35834803705337454,0.9153520917812281
,0.9965687620093329,0.24208847708339065,0.0,0.9615337008185896,0.1372059602148098,0.7370975153260784,0.006930006930006923,0.07785619761799736,0.8276876668974382
01/03/2019 09:00,0.9794125720559976,0.45068873553105504,0.0,0.9280226762608925,0.06746842145072235,0.25383852421352276,0.028828828828828826,0.07168063520070578,0.8428567896350507
01/03/2019 10:00,0.9765303321438372,0.34711720876522506,0.0,0.9842883548983363,0.17774752288026627,0.8831575644143589,0.1799029799029799,0.18135200705778565,0.5568316684798733
01/03/2019 11:00,0.9768734559429044,0.25135410079458914,0.0,0.9114734618431473,0.3642689660388776,0.7989481883286449,0.2518364518364518,0.3091640935156595,0.5018544159825932
01/03/2019 12:00,0.9234833928081252,0.8001704654807403,0.025059067802677738,0.8956792975970429,0.1890931094470918,0.8016743810729936,0.25017325017325015,0.28335906484340534,0.42440164177628315
01/03/2019 13:00,0.9854515509195718,0.05177201616672625,0.0,0.9405903419593344,0.32554269722411316,0.4688379078081746,0.37027027027027026,0.4781098367887076,0.5583399268123824
,0.9284243755146855,0.7385829369552668,0.0,0.9371080340639026,0.2912790257923002,0.30330785524560944,0.40103950103950103,0.4362042346713719,0.4333770151320343
01/03/2019 15:00,0.9221795223716716,0.6262131918286549,0.0,0.9274244124636914,0.23273579910748055,0.009854080043036298,0.27976437976437973,0.3142920158800177,0.47575660172089795
01/03/2019 16:00,0.9416689541586605,0.6906601413213826,0.0,0.913012443886982,0.43529233794720523,0.9423240723099511,0.4688149688149688,0.4750771945302162,0.3194046088418553
,0.9819516881690913,0.2106898353083501,0.0,0.925584235542646,0.19953104908857122,0.9540497831373912,0.1602217602217602,0.2678098808998677,0.523044209277025
01/03/2019 18:00,0.9785204501784242,0.5337219213109347,0.11462733586310589,0.9274285384209136,0.4208456243854475,0.945812366212021,0.25627165627165627,0.2464159682399647,0.5650158243497181
,0.9321987373044194,0.7424046630557315,0.03837617240638648,0.9560296738843408,0.4399818470614932,0.26876674100888737,0.3386001386001386,0.5282862814292015,0.42361042429037676
01/03/2019 20:00,0.9777655778204775,0.1967501580929862,0.0,0.8880504026934246,0.3394599500794192,0.8785821556255393,0.33374913374913373,0.41420379355977066,0.8830852536841063
01/03/2019 21:00,0.9866181718363984,0.21209205135959971,0.0,0.9692657446527595,0.19854776491944637,0.13906104654420745,0.1828828828828829,0.23544331715924133,0.5699114825437642
01/03/2019 22:00,0.9748147131485041,0.5055126336916775,0.0,0.9176830274623708,0.23455109295817267,0.9042330236363432,0.20776160776160776,0.21167842964269962,0.08032093759272077
,0.963972001097996,0.4801077781749197,0.0,0.9439199894375494,0.3281900007563725,0.9385836125836349,0.2731808731808732,0.3394353771504191,0.7215532588270199
02/03/2019 00:00,0.9498353005764479,0.6925297627230488,0.0,0.9061839846844468,0.1975644807503215,0.4435961088011475,0.32605682605682607,0.329786060873401,0.1714469389773514
02/03/2019 01:00,0.9585506450727421,0.5259135025157406,0.0,0.8943136057565355,0.20285908781484005,0.4324027480471157,0.3442134442134442,0.44546757829730926,0.623244486203145
02/03/2019 02:00,0.9256107603623385,0.774985565423002,0.0,0.9522379191972541,0.40148248997806524,0.3168519618501126,0.4294525294525294,0.4631671812968682,0.4306448422510136
02/03/2019 03:00,0.9618446335437825,0.5818921668362158,0.0,0.9239338526538154,0.40390288177898803,0.27829300548040387,0.4117117117117116,0.5000551389501543,0.7662941351003856
02/03/2019 04:00,0.9875102937139721,0.14742514640785245,0.0,0.8900968774755742,0.10286665153921794,0.30948311609714546,0.04559944559944559,0.20478606087340095,0.9477054692908713
02/03/2019 05:00,0.9654131210540762,0.5212944378763301,0.0,0.9392163982043837,0.36048710384993576,0.9421223396505543,0.35973665973665964,0.3597265108072343,0.503820096924142
02/03/2019 06:00,0.93816909140818,0.7166973687828216,0.0,0.9456817731713758,0.2439301111867484,0.7678813587815346,0.19812889812889814,0.26372959858844286,0.36565374344773005
,0.9833928081251717,0.17217013554755164,0.0,0.9148856284658042,0.22169276151577041,0.6771324823203738,0.23326403326403328,0.32868328187031326,0.7417911185837206
